artist,songs,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
David Guetta,Bang My Head (feat. Sia & Fetty Wap),spotify:track:53Y0kdCa1CZ9gRqEuknfwy,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,audio_features,53Y0kdCa1CZ9gRqEuknfwy,https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy,https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy,193333,4
Antti Tuisku,Party (Papiidipaadi) (feat. Nikke Ankara),spotify:track:1CFk1Z0WqOEkbo8SBiZycf,0.725,0.784,5,-4.674,0,0.123,0.0143,5.97e-06,0.297,0.69,139.986,audio_features,1CFk1Z0WqOEkbo8SBiZycf,https://api.spotify.com/v1/tracks/1CFk1Z0WqOEkbo8SBiZycf,https://api.spotify.com/v1/audio-analysis/1CFk1Z0WqOEkbo8SBiZycf,220000,4
PSY,DADDY ft. CL of 2NE1,spotify:track:4oHmgneU9dwYoqg0SJSOCf,0.762,0.87,6,-3.287,0,0.128,0.0788,0.0,0.137,0.753,132.049,audio_features,4oHmgneU9dwYoqg0SJSOCf,https://api.spotify.com/v1/tracks/4oHmgneU9dwYoqg0SJSOCf,https://api.spotify.com/v1/audio-analysis/4oHmgneU9dwYoqg0SJSOCf,230635,4
Coldplay,Adventure of a Lifetime,spotify:track:69uxyAqqPIsUyTO8txoP2M,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,audio_features,69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/tracks/69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/audio-analysis/69uxyAqqPIsUyTO8txoP2M,263787,4
Mariah Carey,All I Want for Christmas Is You,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4
Years & Years,King,spotify:track:6pIZ0u32c2Lku8PmCWtnMy,0.563,0.864,4,-4.066,0,0.0386,0.0585,0.0,0.419,0.439,119.964,audio_features,6pIZ0u32c2Lku8PmCWtnMy,https://api.spotify.com/v1/tracks/6pIZ0u32c2Lku8PmCWtnMy,https://api.spotify.com/v1/audio-analysis/6pIZ0u32c2Lku8PmCWtnMy,213424,4
Imagine Dragons,Shots,spotify:track:4ivxQTDPvf8nrUh8H2pfnr,0.565,0.768,2,-6.803,1,0.0365,0.00723,0.00458,0.309,0.381,104.949,audio_features,4ivxQTDPvf8nrUh8H2pfnr,https://api.spotify.com/v1/tracks/4ivxQTDPvf8nrUh8H2pfnr,https://api.spotify.com/v1/audio-analysis/4ivxQTDPvf8nrUh8H2pfnr,232347,4
Måns Zelmerlöw,Heroes,spotify:track:4ciaNqHWA2IzHphZaVRzHI,0.484,0.791,7,-4.27,1,0.0437,0.0743,0.0,0.0491,0.369,124.008,audio_features,4ciaNqHWA2IzHphZaVRzHI,https://api.spotify.com/v1/tracks/4ciaNqHWA2IzHphZaVRzHI,https://api.spotify.com/v1/audio-analysis/4ciaNqHWA2IzHphZaVRzHI,190613,4
Valvomo,Mikä kesä?,spotify:track:5YPAzeuFqsK3w0MMZotPKl,0.844,0.79,10,-6.427,1,0.0337,0.121,0.0,0.255,0.974,120.078,audio_features,5YPAzeuFqsK3w0MMZotPKl,https://api.spotify.com/v1/tracks/5YPAzeuFqsK3w0MMZotPKl,https://api.spotify.com/v1/audio-analysis/5YPAzeuFqsK3w0MMZotPKl,213867,4
Drake,One Dance,spotify:track:1xznGGDReH1oQq0xzbwXa3,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,audio_features,1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
Cheat Codes,Sex,spotify:track:5ZEM9j0jrFr5RdHEbl2MYV,0.51,0.692,0,-5.825,1,0.171,0.00451,0.0,0.138,0.209,102.42,audio_features,5ZEM9j0jrFr5RdHEbl2MYV,https://api.spotify.com/v1/tracks/5ZEM9j0jrFr5RdHEbl2MYV,https://api.spotify.com/v1/audio-analysis/5ZEM9j0jrFr5RdHEbl2MYV,228361,4
Adam Lambert,Another Lonely Night,spotify:track:7kOJsVkJXvLQPQ9osGWeKd,0.447,0.67,11,-6.106,1,0.0712,0.0643,0.0,0.0687,0.117,181.387,audio_features,7kOJsVkJXvLQPQ9osGWeKd,https://api.spotify.com/v1/tracks/7kOJsVkJXvLQPQ9osGWeKd,https://api.spotify.com/v1/audio-analysis/7kOJsVkJXvLQPQ9osGWeKd,225800,3
Adam Lambert,Trespassing - Radio Edit,spotify:track:5SeSq2EFPOavAjbir0ai6P,0.876,0.619,2,-5.213,1,0.0504,0.000537,5.58e-06,0.127,0.827,120.005,audio_features,5SeSq2EFPOavAjbir0ai6P,https://api.spotify.com/v1/tracks/5SeSq2EFPOavAjbir0ai6P,https://api.spotify.com/v1/audio-analysis/5SeSq2EFPOavAjbir0ai6P,180413,4
Larry Ohh,Elevated,spotify:track:4rveAh0QHR0N2Z0iTeWHlB,0.48,0.727,8,-5.955,1,0.256,0.133,0.0,0.146,0.459,188.21,audio_features,4rveAh0QHR0N2Z0iTeWHlB,https://api.spotify.com/v1/tracks/4rveAh0QHR0N2Z0iTeWHlB,https://api.spotify.com/v1/audio-analysis/4rveAh0QHR0N2Z0iTeWHlB,226649,4
Jay Psar,Turn Me Up Some (feat Redman & Jay Psar) - Dirty,spotify:track:4eMSRO6zGM4SDSqSWTnMqs,0.567,0.777,11,-5.146,1,0.0389,2.6e-05,0.315,0.339,0.144,100.037,audio_features,4eMSRO6zGM4SDSqSWTnMqs,https://api.spotify.com/v1/tracks/4eMSRO6zGM4SDSqSWTnMqs,https://api.spotify.com/v1/audio-analysis/4eMSRO6zGM4SDSqSWTnMqs,218400,4
DJ KIMERA,Cloud Up,spotify:track:6bxi9M79xIYbmrRtZAqghX,0.559,0.407,11,-20.87,0,0.0571,0.0299,0.791,0.0917,0.352,128.408,audio_features,6bxi9M79xIYbmrRtZAqghX,https://api.spotify.com/v1/tracks/6bxi9M79xIYbmrRtZAqghX,https://api.spotify.com/v1/audio-analysis/6bxi9M79xIYbmrRtZAqghX,240741,4
Laura Voutilainen,Mä En Kestä,spotify:track:28bSOChAMwPQE9dxBmhAGA,0.814,0.867,11,-5.456,0,0.0681,0.0197,0.0,0.0867,0.907,129.066,audio_features,28bSOChAMwPQE9dxBmhAGA,https://api.spotify.com/v1/tracks/28bSOChAMwPQE9dxBmhAGA,https://api.spotify.com/v1/audio-analysis/28bSOChAMwPQE9dxBmhAGA,176187,4
Noah Cyrus,Make Me (Cry),spotify:track:2BrzlUj1u1CtvaJDGIKpsP,0.588,0.471,0,-7.287,1,0.0577,0.592,0.00146,0.0733,0.209,152.881,audio_features,2BrzlUj1u1CtvaJDGIKpsP,https://api.spotify.com/v1/tracks/2BrzlUj1u1CtvaJDGIKpsP,https://api.spotify.com/v1/audio-analysis/2BrzlUj1u1CtvaJDGIKpsP,242081,4
Usher,OMG,spotify:track:3r04p85xiJh9Wqk59YDYdc,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,audio_features,3r04p85xiJh9Wqk59YDYdc,https://api.spotify.com/v1/tracks/3r04p85xiJh9Wqk59YDYdc,https://api.spotify.com/v1/audio-analysis/3r04p85xiJh9Wqk59YDYdc,269493,4
B.o.B,Nothin' on You (feat. Bruno Mars),spotify:track:5AkZntfhC6IBpNtWyWTWhk,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,audio_features,5AkZntfhC6IBpNtWyWTWhk,https://api.spotify.com/v1/tracks/5AkZntfhC6IBpNtWyWTWhk,https://api.spotify.com/v1/audio-analysis/5AkZntfhC6IBpNtWyWTWhk,268320,4
Enrique Iglesias,I Like It,spotify:track:3L7JLAG7WqA5CjAZuaVQvj,0.657,0.938,10,-2.757,0,0.0937,0.0189,0.0,0.0805,0.733,128.984,audio_features,3L7JLAG7WqA5CjAZuaVQvj,https://api.spotify.com/v1/tracks/3L7JLAG7WqA5CjAZuaVQvj,https://api.spotify.com/v1/audio-analysis/3L7JLAG7WqA5CjAZuaVQvj,231787,4
JAY-Z,Empire State Of Mind,spotify:track:6u8txb92XRmzfURmKEdZcr,0.503,0.955,11,-1.533,1,0.381,0.0265,0.0,0.265,0.818,173.521,audio_features,6u8txb92XRmzfURmKEdZcr,https://api.spotify.com/v1/tracks/6u8txb92XRmzfURmKEdZcr,https://api.spotify.com/v1/audio-analysis/6u8txb92XRmzfURmKEdZcr,277107,4
Far East Movement,Like A G6,spotify:track:5IaL2LtensPE1x8K4NGaNl,0.629,0.869,7,-7.012,0,0.314,0.00657,0.0,0.191,0.715,125.024,audio_features,5IaL2LtensPE1x8K4NGaNl,https://api.spotify.com/v1/tracks/5IaL2LtensPE1x8K4NGaNl,https://api.spotify.com/v1/audio-analysis/5IaL2LtensPE1x8K4NGaNl,218347,4
Flo Rida,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,spotify:track:0xcl9XT60Siji6CSG4y6nb,0.623,0.882,0,-2.574,1,0.0322,0.0205,0.0,0.194,0.525,127.98,audio_features,0xcl9XT60Siji6CSG4y6nb,https://api.spotify.com/v1/tracks/0xcl9XT60Siji6CSG4y6nb,https://api.spotify.com/v1/audio-analysis/0xcl9XT60Siji6CSG4y6nb,232616,4
